Gain 50                         Gain 100                        Gain 200
A/S     Res     A/SErr  ResErr  A/S     Res     A/SErr  ResErr  A/S     Res     A/SErr  ResErr
11.878	270	0.1155	9	24.186	157	0.2274	4	40.337	110	0.3777	3
26.813	126	0.2339	1	55.236	82.7	0.5146	0.7	100.79	66.9	0.8745	0.6
51.118	71.9	0.4441	0.4	109.909	52.1	0.9913	0.3	201.172	48.4	1.7414	0.3
76.789	55.7	0.6687	0.7	160.927	43.6	1.4525	0.7	296.338	43	2.5661	0.5
102.086	48.9	0.888	0.6	214.735	38.9	1.937	0.5	393.654	39.3	3.4078	0.4








