Gain 50                         Gain 100                        Gain 200
A/S     Res     A/SErr  ResErr  A/S     Res     A/SErr  ResErr  A/S     Res     A/SErr  ResErr
11.871	298	0.1142	12	24.187	158	0.2272	4	40.289	112	0.3707	3
26.815	127.5	0.2339	1.4	55.261	85.2	0.5251	0.8	100.812	69.4	0.8747	0.7
52.257	73.6	0.455	0.4	109.91	54.6	0.9913	0.3	201.174	51.8	1.7414	0.3
76.79	59.1	0.6687	0.8	160.931	47.2	1.4526	0.8	296.34	46.8	2.5661	0.6
102.085	52.5	0.888	0.8	214.739	43.4	1.937	0.6	393.657	43.2	3.4078	0.5







