Gain 50				Gain 100			Gain 200
A/S	Res	A/SErr	ResErr	A/S	Res	A/SErr	ResErr	A/S	Res	A/SErr	ResErr
13.025	292	0.1319	9	25.969	153	0.1976	3	48.218	102	0.4218	2
30.109	119	0.2063	1.1	64.232	80.9	0.4562	0.8	118.603	64.2	0.7985	0.6
60.392	69.4	0.4107	0.4	129.611	49	0.9101	0.3	237.201	45.4	1.5757	0.3
88.359	52.3	0.6072	0.7	190.348	41.4	1.338	0.6	350.327	38.7	2.3279	0.5
118.127	44.5	0.8041	0.6	253.335	37.1	1.7792	0.5	465.716	36	3.0808	0.4





