Gain 50				Gain 100
A/S	Res	A/SErr	ResErr	A/S	Res	A/SErr	ResErr
36.8901	127	0.3145	4	77.8787	75	0.7288	2
91.7653	56.3	0.7626	0.7	194.384	40.6	1.8009	0.5
188.887	39.1	1.551	0.3	393.489	33.7	3.6421	0.2
275.434	33.6	2.2656	0.5	573.633	33.3	5.3129	0.5
367.816	34.1	3.0211	0.6				

