50	0.1702	0.01	0.075	0.001	0.0493	0.0005	0.0375	0.0008	0.0386	0.001
100	0.152	0.009	0.0652	0.001	0.0433	0.0004	0.0375	0.0008	0.0333	0.0009
150	0.139	0.009	0.0604	0.001	0.043	0.0005	0.0391	0.0008	0.0353	0.0009
200	0.13	0.007	0.058	0.0009	0.0433	0.0005	0.04	0.0008	0.037	0.001
250	0.128	0.007	0.058	0.0009	0.0433	0.0005	0.0398	0.0008	0.0373	0.001

